Country,Nbr1,Nbr2,Nbr3
CPV,DMA,LCA,SLB
PRT,IRL,GUM,CHL
LBY,CUB,BMU,NCL
FSM,ISL,SMR,TMP
GEO,MKD,TJK,ALB
PAK,AFG,UGA,BEN
CAF,MRT,SLV,SEN
GRC,MHL,IRL,MLT
NER,BEN,LAO,MMR
BEN,MMR,NER,NPL
GRD,BWA,GIN,HTI
ARB,ASM,GRL,BMU
LAO,NER,TCD,SYR
FRA,AUS,NOR,PYF
MDA,ERI,TKM,UZB
DNK,SWE,NOR,BEL
PER,HND,SDN,MWI
SVK,PSS,TMP,FCS
LAC,LMC,UMC,MIC
FIN,ESP,IRL,BEL
SLV,CAF,MRT,SEN
BGD,MWI,DOM,NPL
EST,ISR,ITA,SWE
ATG,BRB,WBG,URY
IRL,FIN,ESP,CHL
JOR,GRD,MLI,HTI
SMR,MHL,TMP,TCA
SSD,ARB,FRO,SMR
KWT,BHR,FIN,ESP
LDC,SMR,SSF,ASM
MWI,DOM,NPL,MDG
SSA,EAP,LIC,SAS
COM,NER,GIN,SWZ
WBG,ATG,MLT,CUB
ISR,CUW,EST,MAC
DOM,MWI,NPL,MDG
CIV,GNB,BLZ,DJI
HIC,OEC,OED,USA
CHI,IRL,SWE,FIN
THA,KEN,HND,SDN
ROM,NGA,MUS,DJI
NPL,MWI,DOM,MDG
SGP,LCN,LIE,EMU
DZA,LKA,FJI,TUN
VNM,IRN,LBN,ARE
LBR,LAO,NER,GAB
LKA,FJI,TUN,MWI
ARE,RUS,CHL,FIN
VEN,SYC,FCS,URY
BWA,PNG,SWZ,ETH
AGO,TZA,CIV,MKD
MLT,GRC,MHL,CYP
USA,OED,HIC,KOR
MIC,LMY,LMC,UMC
MDG,MWI,DOM,NPL
MNA,NOR,FRA,NOC
TMP,SMR,FCS,ASM
NZL,NCL,BHR,FIN
IRN,VNM,OMN,USA
BHS,OSS,GRL,LBY
VIR,GRL,SXM,LBY
WSM,SYR,LAO,HTI
GUM,PRT,MHL,IRL
MRT,CAF,SLV,SEN
LBN,JAM,NGA,WSM
GIN,SWZ,PRY,GRD
LIE,DNK,SWE,NOC
AZE,KGZ,EGY,GEO
MNE,CAF,SYR,LKA
NAC,EUU,EMU,EAS
POL,NCL,BHR,NOR
GAB,HTI,VCT,TCD
SWZ,BWA,GIN,NER
BGR,DMA,CPV,SRB
FRO,TUV,FSM,SSD
CZE,PRI,PRT,ARB
MCO,RUS,HKG,FRA
MLI,BEN,KEN,PNG
MDV,CPV,GRD,HTI
ERI,TKM,MDA,KGZ
NIC,BEN,MMR,NER
CRI,BEN,MMR,SDN
SYR,LAO,LKA,WSM
HKG,FIN,LIE,ESP
KGZ,MKD,ERI,TKM
KEN,CMR,MWI,DOM
OED,HIC,OEC,USA
SAU,GRC,CEB,ARE
BRA,FIN,ITA,ESP
CYP,LVA,MLT,ARB
QAT,AUS,PYF,RUS
ALB,TJK,UZB,ERI
BEL,SWE,NOC,RUS
HND,MWI,DOM,NPL
HTI,GAB,WSM,GRD
SXM,ARB,GRL,BMU
FCS,TMP,HPC,SVK
GNB,DJI,BLZ,YEM
DJI,GNB,GRD,WSM
BDI,MWI,DOM,NPL
MMR,BEN,NER,NPL
TZA,CIV,ETH,GRD
PRK,KIR,URY,KNA
CSS,GBR,RUS,AUT
HPC,FCS,SSD,BMU
OEC,HIC,OED,KOR
SLE,MWI,DOM,NPL
GRL,ARB,SXM,VIR
MKD,KGZ,UZB,BLR
AFG,PAK,NER,UGA
UZB,ALB,MKD,TKM
NGA,SYR,LKA,BDI
PNG,CAF,BEN,SLV
URY,SST,MYS,ZAF
BRB,ADO,ATG,NAM
EMU,EUU,LCN,NAC
EAP,SSA,LIC,SAS
BLZ,PNG,TCD,GNB
UGA,BEN,MMR,BOL
ITA,NLD,FIN,GBR
COG,SYR,LAO,NER
SVN,AUT,CSS,PRT
PRY,GIN,NER,SWZ
DMA,CPV,BGR,VUT
KOR,ECS,EMU,EUU
GBR,FRA,CAN,RUS
CHN,BEL,DNK,NLD
PLW,SMR,TUV,FRO
ZMB,ZWE,MWI,DOM
TON,CIV,TZA,MDV
ECA,NOR,LIC,NLD
PSS,SVK,TMP,HRV
CHE,NLD,GBR,CAN
BFA,MWI,DOM,NPL
ZAR,MWI,DOM,NPL
STP,LCA,CPV,MDV
IRQ,GRL,SXM,ARB
CUB,LBY,CSS,MLT
MOZ,LCA,SDN,NER
CAN,NLD,GBR,NOR
BMU,MNP,ARB,SXM
ISL,FSM,IND,LIE
NLD,CAN,NOR,DNK
SWE,DNK,BEL,RUS
JPN,HIC,OED,OEC
YEM,GNB,GRD,BWA
GUY,HND,BOL,ZWE
JAM,GAB,TCD,SYR
SSF,AUT,CYM,ASM
TUR,TTO,PHL,PRT
CHL,IRL,FIN,ESP
ETH,BWA,PNG,SWZ
LTU,HKG,TTO,SVK
NOC,BEL,NOR,DNK
CEB,CHL,MEX,IRL
SRB,CPV,DMA,BGR
BOL,MWI,DOM,NPL
ECU,SDN,MWI,DOM
GTM,MWI,DOM,NPL
LSO,MWI,DOM,NPL
VCT,NER,GAB,SWZ
KNA,UKR,VIR,HRV
MAF,ARB,MAC,CYP
ABW,FIN,ESP,IRL
TUV,IND,HKG,NCL
TJK,ALB,TKM,GEO
AUS,PYF,RUS,FRA
WLD,MIC,LMY,LMC
EGY,ZAF,ECU,DZA
TGO,CAF,MRT,KEN
TTO,CSS,MHL,HKG
GNQ,KWT,NZL,CYM
PAN,NER,MWI,DOM
NCL,NZL,PYF,SUR
MEA,NCL,LBY,LIE
HRV,GRL,PSS,SYC
PYF,AUS,PRI,RUS
ZWE,MWI,DOM,NPL
TCA,SMR,HKG,FSM
SOM,LKA,KEN,FJI
ESP,FIN,IRL,BEL
LMC,UMC,MIC,LMY
NAM,OSS,SST,URY
LCA,CPV,STP,MOZ
SLB,BTN,CPV,LCA
SEN,CAF,MRT,SLV
COL,ROM,LBR,STP
EAS,EUU,NOR,NAC
FJI,LKA,TUN,MWI
KAZ,KNA,UKR,NZL
SUR,NCL,SYC,POL
KIR,SUR,FSM,SVK
LVA,CYP,PRI,AUS
BLR,MKD,TKM,KGZ
CUW,BHR,PRI,KWT
UMC,LMC,MIC,LMY
VUT,DMA,CPV,MOZ
OSS,NAM,SST,KIR
TKM,ERI,MKD,UZB
LMY,MIC,LMC,UMC
ARM,KGZ,MDV,MKD
SST,URY,NAM,OSS
KHM,KEN,MOZ,CMR
LUX,BEL,HKG,NOC
IND,IRL,NOR,FRA
BIH,KSV,SRB,ARM
SYC,SUR,SMR,CHI
RUS,BEL,SWE,AUS
MNG,ZAF,GEO,BLR
MYS,URY,TTO,LTU
MHL,FIN,ESP,MNP
RWA,MWI,DOM,NPL
SAS,SSA,LIC,EAP
GMB,CAF,MRT,BLZ
SDN,MWI,DOM,NPL
TCD,BEN,LAO,BLZ
BRN,RUS,FRA,AUS
IDN,HIC,KOR,JPN
TUN,LKA,FJI,MWI
BHR,NOR,KWT,NZL
EUU,EMU,NAC,LCN
ASM,ARB,TMP,BMU
PRI,PYF,AUS,RUS
MUS,SYR,WSM,MNE
OMN,MAC,CYP,BMU
ZAF,EGY,CPV,MKD
MAR,LKA,FJI,TUN
KSV,MYS,GUY,OSS
PHL,MAR,PER,LKA
DEU,DNK,RUS,NOR
ADO,FSM,BRB,SMR
NOR,FRA,BEL,NLD
MEX,IRL,HKG,FIN
MNP,MHL,BMU,GBR
ARG,PRT,IRL,TTO
UKR,KNA,LTU,TTO
CYM,ARB,GRL,SSF
BTN,SYR,SLB,GAB
LIC,SSA,SAS,EAP
AUT,RUS,SWE,PRT
MAC,ISR,BMU,ABW
HUN,PRI,BEL,SWE
LCN,EMU,EUU,FRA
ECS,EUU,KOR,EMU
IMY,ABW,HKG,ADO
CMR,KEN,MWI,DOM
GHA,MWI,DOM,NPL
