Country,Average,Stdev
CPV,0.56,0.66813172354
PRT,0.16,0.417612260356
GEO,0.56,0.80399004969
FSM,0.16,0.366606055596
LBY,0.16,0.463033476112
PAK,1.64,0.591945943478
CAF,1.8,0.489897948557
GRC,0.06,0.237486841741
NER,1.78,0.501597448159
BEN,1.8,0.4472135955
GRD,0.18,0.477074417675
LAO,1.14,0.894650769854
ARB,0.34,0.651459898996
MDA,0.56,0.80399004969
FRA,0.02,0.14
DNK,0.08,0.271293199325
PER,0.56,0.571314274283
SVK,0.28,0.664529909033
LAC,0.42,0.666033032214
SLV,0.78,0.756042326857
FIN,0.02,0.14
BGD,1.58,0.750732975165
EST,0.14,0.447660585712
ATG,0.22,0.501597448159
IRL,0.18,0.554616984954
JOR,0.42,0.602992537267
SMR,0.12,0.430813184571
SSD,0.3,0.640312423743
KWT,0.08,0.337045990927
LDC,1.64,0.71442284398
SSA,1.56,0.571314274283
MWI,1.7,0.640312423743
COM,1.26,0.867409937688
WBG,0.4,0.663324958071
ISR,0.04,0.195959179423
CHI,0.22,0.46
CIV,1.26,0.687313611098
DOM,0.66,0.737834669828
HIC,0.02,0.14
THA,0.74,0.82
ROM,0.26,0.521919534028
VNM,0.98,0.882949602186
DZA,0.58,0.723602100605
SGP,0.16,0.417612260356
NPL,1.7,0.640312423743
LBR,1.34,0.839285410334
LKA,1.22,0.87840765024
VEN,0.08,0.271293199325
ARE,0.14,0.40049968789
BWA,0.68,0.810925397309
MLT,0.16,0.417612260356
AGO,0.76,0.861626369142
USA,0.02,0.14
MIC,1.08,0.795989949685
MDG,1.82,0.433128156554
MNA,0.46,0.639061812347
TMP,0.26,0.593632883186
NZL,0.1,0.3
IRN,0.44,0.66813172354
BHS,0.02,0.14
VIR,0.12,0.430813184571
WSM,0.22,0.46
GUM,0.22,0.46
MRT,1.54,0.639061812347
LBN,0.32,0.646219776856
GIN,1.1,0.964365076099
LIE,0.08,0.271293199325
AZE,0.48,0.805977667184
MNE,0.24,0.61838499335
NAC,0.02,0.14
GAB,0.28,0.56709787515
POL,0.1,0.360555127546
SWZ,0.42,0.695413546029
BGR,0.36,0.624819974073
CZE,0.12,0.324961536185
FRO,0.26,0.593632883186
MCO,0.2,0.565685424949
MLI,1.74,0.593632883186
MDV,0.2,0.489897948557
ERI,0.86,0.98
NIC,1.16,0.783836717691
CRI,0.42,0.602992537267
HKG,0.1,0.3
SYR,0.64,0.71442284398
KGZ,0.9,0.921954445729
KEN,1.7,0.538516480713
OED,0.02,0.14
QAT,0.18,0.477074417675
BRA,0.4,0.663324958071
SAU,0.14,0.40049968789
CYP,0.16,0.504380808517
ALB,0.54,0.726911273815
BEL,0.02,0.14
HND,1.08,0.795989949685
HTI,0.78,0.944245730729
SXM,0.2,0.489897948557
FCS,0.82,0.887468309293
GNB,1.66,0.681469001496
DJI,0.34,0.62
BDI,1.5,0.781024967591
TZA,1.1,0.964365076099
MMR,0.26,0.558927544499
CSS,0.16,0.366606055596
PRK,0.18,0.517300686255
HPC,1.8,0.4472135955
OEC,0.02,0.14
SLE,1.86,0.346987031458
GRL,0.1,0.412310562562
MKD,0.18,0.433128156554
AFG,0.64,0.842852300228
UZB,0.86,0.824863625092
NGA,1.5,0.728010988928
PNG,1.22,0.701141925718
URY,0.16,0.366606055596
BRB,0.14,0.447660585712
EAP,1.22,0.87840765024
EMU,0.02,0.14
BLZ,0.46,0.669626761711
UGA,1.24,0.9286549413
ITA,0.04,0.195959179423
COG,1.2,0.8
SVN,0.12,0.381575680567
PRY,0.22,0.54
DMA,0.28,0.530659966457
KOR,0.48,0.754718490565
GBR,0.08,0.337045990927
CHN,1.26,0.867409937688
PLW,0.14,0.40049968789
ZMB,1.64,0.52
TON,0.26,0.521919534028
ECA,0.38,0.596322060635
PSS,0.28,0.56709787515
CHE,0.1,0.360555127546
BFA,1.84,0.417612260356
ZAR,1.66,0.62
STP,0.52,0.727736215946
IRQ,0.18,0.433128156554
CUB,0.14,0.40049968789
MOZ,1.42,0.802246844805
CAN,0.02,0.14
BMU,0.06,0.310483493925
NLD,0.02,0.14
JPN,0.06,0.237486841741
ISL,0.02,0.14
SWE,0.02,0.14
YEM,0.8,0.938083151965
GUY,1.14,0.872009174264
JAM,0.38,0.596322060635
SSF,1.56,0.571314274283
TUR,0.32,0.545527267879
CHL,0.28,0.491528229098
ETH,1.24,0.9068627239
LTU,0.12,0.381575680567
NOC,0.12,0.381575680567
CEB,0.12,0.381575680567
SRB,0.24,0.471593044902
BOL,0.82,0.792212092814
ECU,0.48,0.67052218457
GTM,0.86,0.721387551875
LSO,1.44,0.66813172354
VCT,0.66,0.839285410334
KNA,0.12,0.381575680567
ABW,0.18,0.517300686255
TUV,0.26,0.593632883186
MAF,0.02,0.14
TJK,0.92,0.955824251628
AUS,0.02,0.14
WLD,0.2,0.4472135955
EGY,1.12,0.738647412505
TGO,1.86,0.346987031458
PAN,0.26,0.482078831728
TTO,0.14,0.346987031458
GNQ,0.7,0.854400374532
NCL,0.1,0.360555127546
MEA,0.2,0.489897948557
HRV,0.26,0.521919534028
PYF,0.12,0.430813184571
ZWE,1.5,0.640312423743
TCA,0.28,0.56709787515
SOM,0.3,0.640312423743
ESP,0.08,0.271293199325
LMC,1.52,0.727736215946
NAM,0.1,0.360555127546
LCA,0.22,0.501597448159
SLB,0.66,0.737834669828
EAS,0.58,0.776916983982
FJI,0.4,0.692820323028
COL,0.62,0.79724525712
SEN,1.54,0.639061812347
KAZ,0.3,0.574456264654
SUR,0.3,0.5
KIR,0.72,0.693974062916
LVA,0.18,0.517300686255
BLR,0.24,0.427083130081
CUW,0.08,0.271293199325
UMC,0.92,0.74404300951
VUT,0.62,0.66
OSS,0.28,0.491528229098
SST,0.26,0.593632883186
LMY,1.06,0.834505841801
ARM,0.54,0.829698740508
TKM,0.48,0.780768851838
KHM,0.86,0.959374796417
LUX,0.02,0.14
IND,1.66,0.586856030045
BIH,0.28,0.56709787515
SYC,0.38,0.66
RUS,0.28,0.56709787515
SAS,1.66,0.586856030045
MYS,0.48,0.727736215946
MHL,0.2,0.489897948557
MNG,0.7,0.830662386292
RWA,1.72,0.601331855135
GMB,1.62,0.66
SDN,1.64,0.52
TCD,1.76,0.549909083395
BRN,0.14,0.40049968789
IDN,1.08,0.868101376568
TUN,0.44,0.66813172354
BHR,0.2,0.489897948557
EUU,0.14,0.447660585712
MUS,0.22,0.46
ASM,0.26,0.593632883186
PRI,0.04,0.195959179423
OMN,0.32,0.646219776856
ZAF,0.22,0.46
MAR,0.92,0.716658914687
KSV,0.14,0.447660585712
PHL,1.04,0.773563184233
DEU,0.06,0.237486841741
ADO,0.16,0.504380808517
NOR,0.02,0.14
MEX,0.26,0.482078831728
MNP,0.24,0.512249938995
ARG,0.04,0.195959179423
BTN,0.9,0.877496438739
UKR,0.2,0.4472135955
CYM,0.16,0.366606055596
LIC,1.24,0.9286549413
AUT,0.04,0.195959179423
MAC,0.2,0.529150262213
HUN,0.24,0.585149553533
LCN,0.3,0.538516480713
ECS,0.1,0.412310562562
IMY,0.26,0.593632883186
CMR,1.22,0.701141925718
GHA,1.7,0.5
